frase,codice
stampa ciao,print('ciao')
mostra ciao mondo,print('ciao mondo')
visualizza hello,print('hello')
scrivi benvenuto,print('benvenuto')
esponi messaggio,print('messaggio')
output testo,print('testo')
fai vedere risultato,print('risultato')
stampa il numero 42,print(42)
mostra valore 100,print(100)
visualizza numero negativo -5,print(-5)
stampa variabile x,"x = 10
print(x)"
mostra contenuto di nome,"nome = 'Mario'
print(nome)"
visualizza risultato calcolo,"risultato = 5 + 3
print(risultato)"
stampa tutti gli elementi,"elementi = [1, 2, 3]
for e in elementi:
    print(e)"
stampa con f-string,"nome = 'Luca'
print(f'Ciao {nome}')"
mostra con formato,"eta = 25
print('Età:', eta)"
stampa multipli valori,"print('Nome:', 'Mario', 'Età:', 30)"
stampa ciao,print('ciao')
stampa mondo,print('mondo')
stampa hello,print('hello')
stampa test,print('test')
stampa risultato,print('risultato')
stampa valore,print('valore')
stampa dato,print('dato')
stampa info,print('info')
stampa messaggio,print('messaggio')
stampa testo,print('testo')
stampa 0,print(0)
stampa numero 0,print(0)
stampa il valore 0,print(0)
stampa 1,print(1)
stampa numero 1,print(1)
stampa il valore 1,print(1)
stampa 2,print(2)
stampa numero 2,print(2)
stampa il valore 2,print(2)
stampa 3,print(3)
stampa numero 3,print(3)
stampa il valore 3,print(3)
stampa 4,print(4)
stampa numero 4,print(4)
stampa il valore 4,print(4)
stampa 5,print(5)
stampa numero 5,print(5)
stampa il valore 5,print(5)
stampa 6,print(6)
stampa numero 6,print(6)
stampa il valore 6,print(6)
stampa 7,print(7)
stampa numero 7,print(7)
stampa il valore 7,print(7)
stampa 8,print(8)
stampa numero 8,print(8)
stampa il valore 8,print(8)
stampa 9,print(9)
stampa numero 9,print(9)
stampa il valore 9,print(9)
stampa 10,print(10)
stampa numero 10,print(10)
stampa il valore 10,print(10)
stampa 11,print(11)
stampa numero 11,print(11)
stampa il valore 11,print(11)
stampa 12,print(12)
stampa numero 12,print(12)
stampa il valore 12,print(12)
stampa 13,print(13)
stampa numero 13,print(13)
stampa il valore 13,print(13)
stampa 14,print(14)
stampa numero 14,print(14)
stampa il valore 14,print(14)
stampa 15,print(15)
stampa numero 15,print(15)
stampa il valore 15,print(15)
stampa 16,print(16)
stampa numero 16,print(16)
stampa il valore 16,print(16)
stampa 17,print(17)
stampa numero 17,print(17)
stampa il valore 17,print(17)
stampa 18,print(18)
stampa numero 18,print(18)
stampa il valore 18,print(18)
stampa 19,print(19)
stampa numero 19,print(19)
stampa il valore 19,print(19)
stampa 20,print(20)
stampa numero 20,print(20)
stampa il valore 20,print(20)
stampa 21,print(21)
stampa numero 21,print(21)
stampa il valore 21,print(21)
stampa 22,print(22)
stampa numero 22,print(22)
stampa il valore 22,print(22)
stampa 23,print(23)
stampa numero 23,print(23)
stampa il valore 23,print(23)
stampa 24,print(24)
stampa numero 24,print(24)
stampa il valore 24,print(24)
stampa 25,print(25)
stampa numero 25,print(25)
stampa il valore 25,print(25)
stampa 26,print(26)
stampa numero 26,print(26)
stampa il valore 26,print(26)
stampa 27,print(27)
stampa numero 27,print(27)
stampa il valore 27,print(27)
stampa 28,print(28)
stampa numero 28,print(28)
stampa il valore 28,print(28)
stampa 29,print(29)
stampa numero 29,print(29)
stampa il valore 29,print(29)
stampa 30,print(30)
stampa numero 30,print(30)
stampa il valore 30,print(30)
stampa 31,print(31)
stampa numero 31,print(31)
stampa il valore 31,print(31)
stampa 32,print(32)
stampa numero 32,print(32)
stampa il valore 32,print(32)
stampa 33,print(33)
stampa numero 33,print(33)
stampa il valore 33,print(33)
stampa 34,print(34)
stampa numero 34,print(34)
stampa il valore 34,print(34)
stampa 35,print(35)
stampa numero 35,print(35)
stampa il valore 35,print(35)
stampa 36,print(36)
stampa numero 36,print(36)
stampa il valore 36,print(36)
stampa 37,print(37)
stampa numero 37,print(37)
stampa il valore 37,print(37)
stampa 38,print(38)
stampa numero 38,print(38)
stampa il valore 38,print(38)
stampa 39,print(39)
stampa numero 39,print(39)
stampa il valore 39,print(39)
stampa 40,print(40)
stampa numero 40,print(40)
stampa il valore 40,print(40)
stampa 41,print(41)
stampa numero 41,print(41)
stampa il valore 41,print(41)
stampa 42,print(42)
stampa numero 42,print(42)
stampa il valore 42,print(42)
stampa 43,print(43)
stampa numero 43,print(43)
stampa il valore 43,print(43)
stampa 44,print(44)
stampa numero 44,print(44)
stampa il valore 44,print(44)
stampa 45,print(45)
stampa numero 45,print(45)
stampa il valore 45,print(45)
stampa 46,print(46)
stampa numero 46,print(46)
stampa il valore 46,print(46)
stampa 47,print(47)
stampa numero 47,print(47)
stampa il valore 47,print(47)
stampa 48,print(48)
stampa numero 48,print(48)
stampa il valore 48,print(48)
stampa 49,print(49)
stampa numero 49,print(49)
stampa il valore 49,print(49)
mostra ciao,print('ciao')
mostra mondo,print('mondo')
mostra hello,print('hello')
mostra test,print('test')
mostra risultato,print('risultato')
mostra valore,print('valore')
mostra dato,print('dato')
mostra info,print('info')
mostra messaggio,print('messaggio')
mostra testo,print('testo')
mostra 0,print(0)
mostra numero 0,print(0)
mostra il valore 0,print(0)
mostra 1,print(1)
mostra numero 1,print(1)
mostra il valore 1,print(1)
mostra 2,print(2)
mostra numero 2,print(2)
mostra il valore 2,print(2)
mostra 3,print(3)
mostra numero 3,print(3)
mostra il valore 3,print(3)
mostra 4,print(4)
mostra numero 4,print(4)
mostra il valore 4,print(4)
mostra 5,print(5)
mostra numero 5,print(5)
mostra il valore 5,print(5)
