frase_italiana,codice_python
stampa ciao,print('ciao')
stampa il ciao,print('ciao')
stampa questo ciao,print('ciao')
stampa ciao bello,print('ciao bello')
stampa ciao grande,print('ciao grande')
stampa ciao piccolo,print('ciao piccolo')
stampa ciao nuovo,print('ciao nuovo')
stampa ciao vecchio,print('ciao vecchio')
stampa ciao importante,print('ciao importante')
stampa ciao utile,print('ciao utile')
stampa ciao finale,print('ciao finale')
stampa mondo,print('mondo')
stampa il mondo,print('mondo')
stampa questo mondo,print('mondo')
stampa mondo bello,print('mondo bello')
stampa mondo grande,print('mondo grande')
stampa mondo piccolo,print('mondo piccolo')
stampa mondo nuovo,print('mondo nuovo')
stampa mondo vecchio,print('mondo vecchio')
stampa mondo importante,print('mondo importante')
stampa mondo utile,print('mondo utile')
stampa mondo finale,print('mondo finale')
stampa hello,print('hello')
stampa il hello,print('hello')
stampa questo hello,print('hello')
stampa hello bello,print('hello bello')
stampa hello grande,print('hello grande')
stampa hello piccolo,print('hello piccolo')
stampa hello nuovo,print('hello nuovo')
stampa hello vecchio,print('hello vecchio')
stampa hello importante,print('hello importante')
stampa hello utile,print('hello utile')
stampa hello finale,print('hello finale')
stampa test,print('test')
stampa il test,print('test')
stampa questo test,print('test')
stampa test bello,print('test bello')
stampa test grande,print('test grande')
stampa test piccolo,print('test piccolo')
stampa test nuovo,print('test nuovo')
stampa test vecchio,print('test vecchio')
stampa test importante,print('test importante')
stampa test utile,print('test utile')
stampa test finale,print('test finale')
stampa risultato,print('risultato')
stampa il risultato,print('risultato')
stampa questo risultato,print('risultato')
stampa risultato bello,print('risultato bello')
stampa risultato grande,print('risultato grande')
stampa risultato piccolo,print('risultato piccolo')
stampa risultato nuovo,print('risultato nuovo')
stampa risultato vecchio,print('risultato vecchio')
stampa risultato importante,print('risultato importante')
stampa risultato utile,print('risultato utile')
stampa risultato finale,print('risultato finale')
stampa valore,print('valore')
stampa il valore,print('valore')
stampa questo valore,print('valore')
stampa valore bello,print('valore bello')
stampa valore grande,print('valore grande')
stampa valore piccolo,print('valore piccolo')
stampa valore nuovo,print('valore nuovo')
stampa valore vecchio,print('valore vecchio')
stampa valore importante,print('valore importante')
stampa valore utile,print('valore utile')
stampa valore finale,print('valore finale')
stampa dato,print('dato')
stampa il dato,print('dato')
stampa questo dato,print('dato')
stampa dato bello,print('dato bello')
stampa dato grande,print('dato grande')
stampa dato piccolo,print('dato piccolo')
stampa dato nuovo,print('dato nuovo')
stampa dato vecchio,print('dato vecchio')
stampa dato importante,print('dato importante')
stampa dato utile,print('dato utile')
stampa dato finale,print('dato finale')
stampa info,print('info')
stampa il info,print('info')
stampa questo info,print('info')
stampa info bello,print('info bello')
stampa info grande,print('info grande')
stampa info piccolo,print('info piccolo')
stampa info nuovo,print('info nuovo')
stampa info vecchio,print('info vecchio')
stampa info importante,print('info importante')
stampa info utile,print('info utile')
stampa info finale,print('info finale')
stampa messaggio,print('messaggio')
stampa il messaggio,print('messaggio')
stampa questo messaggio,print('messaggio')
stampa messaggio bello,print('messaggio bello')
stampa messaggio grande,print('messaggio grande')
stampa messaggio piccolo,print('messaggio piccolo')
stampa messaggio nuovo,print('messaggio nuovo')
stampa messaggio vecchio,print('messaggio vecchio')
stampa messaggio importante,print('messaggio importante')
stampa messaggio utile,print('messaggio utile')
stampa messaggio finale,print('messaggio finale')
stampa testo,print('testo')
